ID продавца;Продавец;Предмет;НМ;Бренд;Наименование;Ссылка WB;Ссылка Озон;Цена WB 20.10;Цена OZON 20.10;;Цена WB 10.11;Цена OZON 10.11;Дельта;КАМ;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Коврики комнатные;199767092;Decor Magic;Коврик на кухню для пола нескользящий OPTIMA MELODY 50х150;https://www.wildberries.ru/catalog/199767092/detail.aspx;https://www.ozon.ru/product/kovrik-dlya-kuhni-na-pol-50h150-dlya-prihozhey-kovrovaya-dorozhka-optima-melody-1377125531/?_bctx=CAQQyp8Y&hs=1;884;964;-8,30%;952;1069;-10,94%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Коврики комнатные;166417055;Decor Magic;Дорожка ковровая на кухню без ворса OPTIMA SIRIUS 50х150;https://www.wildberries.ru/catalog/166417055/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/kovrik-dlya-kuhni-na-pol-50h150-protivoskolzyashchiy-dlya-prihozhey-na-balkon-optima-sirius-1048092530/?from_sku=1377125531&oos_search=false;612;712;-14,04%;661;787;-16,01%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Шторы ;111710732;Decor Magic;Шторы блэкаут рогожка 170х270 ROUND DENIM в гостиную - 1 шт;https://www.wildberries.ru/catalog/111710732/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/shtora-v-gostinuyu-170h270-sm-round-denim-571060231/?_bctx=CAQQyp8Y&hs=1;1225;1575;-22,22%;1225;1575;-22,22%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Коврик для ванной;400549779;Decor Magic;Коврик для ванной быстросохнущий пушистый MILK 50x80 см;https://www.wildberries.ru/catalog/400549779/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/kovrik-dlya-vannoy-i-tualeta-protivoskolzyashchiy-40x60-sm-langoria-milk-2071489281/?from_sku=956649206&oos_search=false;550;632;-12,97%;550;632;-12,97%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Покрывала;438907475;CASSIA;Покрывало на кровать, на диван 230x250 и две наволочки 50х70;https://www.wildberries.ru/catalog/438907475/detail.aspx;https://www.ozon.ru/product/cassia-komplekt-pokryvalo-s-navolochkami-evro-maksi-irisy-steganye-mikrofibra-230x250-50x70-2-sht-910821477/?at=EqtkLNPJJhq70NnLumYGAkWs9rkGGCxnA2ZMHq4L4oW&from_sku=910822342&oos_search=false;2495;2944;-15,25%;2325;2463;-5,60%;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Покрывала;488870453;CASSIA;Покрывало на кровать, на диван 230x250 и две наволочки 50х70;https://www.wildberries.ru/catalog/488870453/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/cassia-pokryvalo-s-navolochkami-komplekt-evro-kolibri-mikrofibra-230h250-50h70-2-sht-3-predmeta-2607904569/?at=EqtkLNPJJhq70NnLumYGAkWs9rkGGCxnA2ZMHq4L4oW&from_sku=910822342&oos_search=false;3638;3749;-2,96%;3278;3145;4,23%;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Покрывала;438907476;CASSIA;Покрывало на кровать, на диван 230x250 и две наволочки 50х70;https://www.wildberries.ru/catalog/438907476/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/cassia-komplekt-pokryvalo-s-navolochkami-evro-maksi-solanzh-steganye-mikrofibra-230x250-50x70-2-sht-884614778/?at=EqtkLNPJJhq70NnLumYGAkWs9rkGGCxnA2ZMHq4L4oW&from_sku=910822342&oos_search=false;3050;3534;-13,70%;2753;2977;-7,52%;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Покрывала;438907479;CASSIA;Покрывало на кровать на диван стеганое Евро 240x260 бархат;https://www.wildberries.ru/catalog/438907479/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/cassia-pokryvalo-na-divan-na-krovat-evro-maksi-selin-steganoe-barhat-240x260-rozovoe-1731374491/?at=EqtkLNPJJhq70NnLumYGAkWs9rkGGCxnA2ZMHq4L4oW&from_sku=910822342&oos_search=false;3584;3712;-3,45%;3262;3474;-6,10%;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Одеяла;262435410;CASSIA;Одеяло 2-спальное 172x205 всесезонное,овечья шерсть 400г/м2;https://www.wildberries.ru/catalog/262435410/detail.aspx;https://www.ozon.ru/product/cassia-odeyalo-172h205-dvuspalnoe-zhemchuzhina-tibeta-zimnee-teploe-400-g-m2-ovechya-1696443363/?at=99trQpvn0uKrWozZIgVWx85CWMk92xS5oKB3Ps6M04v5&from_sku=1696443275&oos_search=false;3024;3137;-3,60%;3071;3248;-5,45%;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Одеяла;262435416;CASSIA;Одеяло Евро 200x220 всесезонное,верблюжья шерсть 200г/м2;https://www.wildberries.ru/catalog/262435416/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/cassia-odeyalo-200h220-evro-kalahari-vsesezonnoe-teploe-350-g-m2-verblyuzhya-sherst-mikrovolokno-1696443230/?at=MZtvm9YmKsXw5XvxTvvpqpWuX5oNJ1uBGK1kjFompP5w;3201;3486;-8,18%;3255;3988;-18,38%;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Одеяла;444692910;CASSIA;Одеяло 1.5 спальное 140х205 вискозный шелк 240 г/м2;https://www.wildberries.ru/catalog/444692910/detail.aspx;https://www.ozon.ru/product/cassia-odeyalo-140h205-polutornoe-vsesezonnoe-bio-shelk-teploe-240-g-m2-viskoznyy-shelk-mikrovolokno-2310015144/?at=GRt2kQmn7iMkgX16Sy278G3CpDRYpmi1BPLNzspQOq5l;1555;1565;-0,64%;1508;1565;-3,64%;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Одеяла;346527406;CASSIA;Одеяло евро 220х240 бамбук всесезонное облегченное 200г/м2;https://www.wildberries.ru/catalog/346527406/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/cassia-odeyalo-evro-maksi-vsesezonnoe-bambuk-naturel-teploe-240-g-m2-bambukovoe-volokno-2090385530/?at=99trQpvn0uOYXZqMUy8kxLqSLLAjBoIRpVLm0tVw1gMJ&from_sku=2090385425&oos_search=false;1911;2315;-17,45%;1934;2318;-16,57%;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Одеяла;150057398;CASSIA;Одеяло евро 200х220 лебяжий пух всесезонное 240г/м2;https://www.wildberries.ru/catalog/150057398/detail.aspx;https://www.ozon.ru/product/cassia-odeyalo-200x220-evro-antistress-vsesezonnoe-240-g-m2-mikrovolokno-lebyazhiy-puh-259469536/?at=OgtEnyJY8s3m2D2JCDqoMOQSNMw0V2hw2gNK9tRmplW1&from_sku=259469535&oos_search=false;2534;2828;-10,40%;нет в наличии;2802;#ЗНАЧ!;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Постельное белье;236184830;CASSIA;Постельное белье Евро 100% хлопок-сатин;https://www.wildberries.ru/catalog/236184830/detail.aspx;https://www.ozon.ru/product/cassia-komplekt-postelnogo-belya-evro-elif-200h210-1-230h250-1-50h70-2-satin-hlopok-1596333644/?at=PjtJWkOgwcRlGKElsq2XgmwfpD3OpRIA3En5DCNp8DLE;4634;4822;-3,90%;4493;5309;-15,37%;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Постельное белье;236184832;CASSIA;Постельное белье Евро 100% хлопок-сатин;https://www.wildberries.ru/catalog/236184832/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/cassia-komplekt-postelnogo-belya-evro-adem-200h210-1-230h250-1-50h70-2-satin-hlopok-1596333646/?at=PjtJWkOgwcRlGKElsq2XgmwfpD3OpRIA3En5DCNp8DLE&from_sku=1596333644&oos_search=false;3852;4263;-9,64%;3852;4415;-12,75%;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Постельное белье;236184833;CASSIA;Постельное белье Евро 100% хлопок-сатин;https://www.wildberries.ru/catalog/236184833/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/cassia-komplekt-postelnogo-belya-evro-altan-200h210-1-230h250-1-50h70-2-satin-hlopok-1596333671/?at=PjtJWkOgwcRlGKElsq2XgmwfpD3OpRIA3En5DCNp8DLE&from_sku=1596333644&oos_search=false;4203;4554;-7,71%;3852;4513;-14,65%;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Наволочки;237718568;CASSIA;Наволочки 70х70 2шт. комплект хлопок-сатин;https://www.wildberries.ru/catalog/237718568/detail.aspx;https://www.ozon.ru/product/cassia-navolochki-komplekt-altan-satin-hlopok-70x70-2-sht-2201728733/?at=MZtvXAgPrsWOmy6msrP5xQMsORM70xuJnAkKvCMBoANP;743;849;-12,49%;824;931;-11,49%;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Наволочки;237718570;CASSIA;Наволочки 70х70 2шт. комплект хлопок-сатин;https://www.wildberries.ru/catalog/237718570/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/cassia-navolochki-komplekt-emine-satin-hlopok-70x70-2-sht-2201728678/?at=MZtvXAgPrsWOmy6msrP5xQMsORM70xuJnAkKvCMBoANP&from_sku=2201728733&oos_search=false;806;931;-13,43%;806;931;-13,43%;Миронова Валерия;;;;;;;;;;;;;;
250010287;ИП Павленко И. К.;Наволочки;241055703;CASSIA;Комплект наволочек 70х70см 100% хлопок страйп-сатин;https://www.wildberries.ru/catalog/241055703/detail.aspx;https://www.ozon.ru/product/cassia-navolochki-komplekt-70x70-2-sht-lyuks-strayp-satin-zhakkard-hlopok-serye-1615920270/?at=gpt497r63FKzkRj4FMKjRMAu0w13PjIXkB91lhZxE4Qo&from_sku=1615918856&oos_search=false;861;874;-1,49%;861;874;-1,49%;Миронова Валерия;;;;;;;;;;;;;;
683563;ИП Бурылин А. С.;Полотенца банные ;314309663;Dizani;Именное полотенце Александр в подарок на день рождения;https://www.wildberries.ru/catalog/314309663/detail.aspx;https://www.ozon.ru/product/polotentse-mahrovoe-bannoe-aleksandr-v-podarok-na-den-rozhdeniya-2389922008/?_bctx=CAQQwJ0t&hs=1;803;766;4,83%;856;852;0,47%;Миронова Валерия;;;;;;;;;;;;;;
683563;ИП Бурылин А. С.;Полотенца банные ;432022326;Dizani;Именное полотенце Евгений в подарок на день рождения;https://www.wildberries.ru/catalog/432022326/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/polotentse-mahrovoe-bannoe-evgeniy-v-podarok-na-den-rozhdeniya-2892924524/?from_sku=2389922008&oos_search=false;815;766;6,40%;869;852;2,00%;Миронова Валерия;;;;;;;;;;;;;;
683563;ИП Бурылин А. С.;Полотенца банные ;432022328;Dizani;Именное полотенце Николай в подарок на день рождения;https://www.wildberries.ru/catalog/432022328/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/polotentse-mahrovoe-bannoe-nikolay-v-podarok-na-den-rozhdeniya-2892925414/?from_sku=2389922008&oos_search=false;815;766;6,40%;869;852;2,00%;Миронова Валерия;;;;;;;;;;;;;;
683563;ИП Бурылин А. С.;Полотенца банные ;218713780;Dizani;Подарочное полотенце мужу на день рождения;https://www.wildberries.ru/catalog/218713780/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/polotentse-mahrovoe-bannoe-v-podarok-muzhu-1502458562/?_bctx=CAQQwJ0t&hs=1;861;819;5,13%;882;852;3,52%;Миронова Валерия;;;;;;;;;;;;;;
683563;ИП Бурылин А. С.;Полотенца банные ;218713779;Dizani;Подарочное полотенце сыну на день рождения;https://www.wildberries.ru/catalog/218713779/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/polotentse-mahrovoe-bannoe-v-podarok-synu-1502457249/?from_sku=1502458562&oos_search=false;848;819;3,54%;869;852;2,00%;Миронова Валерия;;;;;;;;;;;;;;
683563;ИП Бурылин А. С.;Полотенца банные ;219363646;Dizani;Подарочное полотенце мужу на день рождения;https://www.wildberries.ru/catalog/219363646/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/polotentse-mahrovoe-bannoe-v-podarok-muzhu-1502458422/?_bctx=CAQQwJ0t&hs=1;1034;1013;2,07%;1060;1056;0,38%;Миронова Валерия;;;;;;;;;;;;;;
683563;ИП Бурылин А. С.;Полотенца банные ;219162242;Dizani;Подарочное полотенце папе на день рождения;https://www.wildberries.ru/catalog/219162242/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/polotentse-mahrovoe-bannoe-v-podarok-pape-1502458413/?_bctx=CAQQwJ0t&hs=1;1018;1013;0,49%;995;1056;-5,78%;Миронова Валерия;;;;;;;;;;;;;;
683563;ИП Бурылин А. С.;Полотенца банные ;159721043;Dizani;Именное полотенце Александр в подарок на день рождения;https://www.wildberries.ru/catalog/159721043/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/polotentse-mahrovoe-imennoe-aleksandr-podarochnoe-muzhskoe-989332201/?_bctx=CAQQwJ0t&hs=1;994;947;4,96%;1060;1056;0,38%;Миронова Валерия;;;;;;;;;;;;;;
683563;ИП Бурылин А. С.;Полотенца банные ;159721050;Dizani;Именное полотенце Алексей в подарок на день рождения;https://www.wildberries.ru/catalog/159721050/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/polotentse-mahrovoe-imennoe-aleksey-podarochnoe-muzhskoe-989368500/?from_sku=989332201&oos_search=false;1034;1013;2,07%;1060;1056;0,38%;Миронова Валерия;;;;;;;;;;;;;;
683563;ИП Бурылин А. С.;Полотенца банные ;159721077;Dizani;Именное полотенце Сергей в подарок на день рождения;https://www.wildberries.ru/catalog/159721077/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/polotentse-mahrovoe-imennoe-sergey-podarochnoe-muzhskoe-989407834/?from_sku=989332201&oos_search=false;994;947;4,96%;1060;1056;0,38%;Миронова Валерия;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
